fact_id,module,entity,source,metric,contract_count,totaal,years_with_data,query_ref,verified_at
PUB-SRC-119,publiek,WOT! | B.I.T. Netherlands B.V.,COA,per_source_count,22,400022,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-120,publiek,Gemeente Middelburg,COA,per_source_count,22,1790022,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-121,publiek,Meetingselect BV,COA,per_source_count,22,13255022,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-122,publiek,Inofec BV,COA,per_source_count,22,8045022,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-123,publiek,Jumbo Hapers-Gilze,COA,per_source_count,22,110022,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-124,publiek,Duinrell Wassenaar,COA,per_source_count,22,60845022,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-125,publiek,Huisveste C.V.,COA,per_source_count,22,15880022,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-126,publiek,Babbage Company B.V.,COA,per_source_count,22,11970022,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-127,publiek,TRL Cruise Line BV,COA,per_source_count,21,4675021,3,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-128,publiek,Stichting Salvage,COA,per_source_count,21,100020,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-129,publiek,Lnsurance Managers B.V.,COA,per_source_count,21,3125019,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-130,publiek,Topgeschenken Nederland BV,COA,per_source_count,21,320021,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-131,publiek,NSR-UVB,COA,per_source_count,21,155021,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-132,publiek,De Treemter,COA,per_source_count,21,105021,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-133,publiek,Chip Bizz b.v.,COA,per_source_count,21,2095021,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-134,publiek,Hypeco Exploitatie B.V.,COA,per_source_count,21,22160019,3,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-135,publiek,Asito BV,COA,per_source_count,21,22675021,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-136,publiek,BMC implementatie,COA,per_source_count,21,11450021,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-137,publiek,Hotel Cafe Restaurant Boschhui,COA,per_source_count,21,105021,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-138,publiek,De Prijshamer B.V.,COA,per_source_count,21,105021,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-139,publiek,Plus Verbeeten Overloon,COA,per_source_count,20,100020,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-140,publiek,USG Restart B.V.,COA,per_source_count,20,510019,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-141,publiek,Gemeente Tilburg,COA,per_source_count,20,815020,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-142,publiek,Gemeente Noordoostpolder,COA,per_source_count,20,375020,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-143,publiek,Mondial Movers BV,COA,per_source_count,20,22740020,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-144,publiek,Multicom B.V.,COA,per_source_count,20,14760019,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-145,publiek,Gemeente De Fryske Marren,COA,per_source_count,20,1115020,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-146,publiek,Gemeente Emmen,COA,per_source_count,20,1430020,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-147,publiek,Slaapschepen Catering B.V.,COA,per_source_count,20,172255018,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-148,publiek,Schotpoort Connect B.V.,COA,per_source_count,20,95019,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-149,publiek,Gemeente Breda,COA,per_source_count,20,4710018,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-150,publiek,Belastingdienst Apeldoorn,COA,per_source_count,20,462565020,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-151,publiek,Lnofec BV,COA,per_source_count,20,10180019,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-152,publiek,Rentokil,COA,per_source_count,19,8435019,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-153,publiek,Gemeente Harderwijk,COA,per_source_count,19,825018,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-154,publiek,Treant Zorggroep,COA,per_source_count,19,220019,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-155,publiek,LenferinkgroepZwolle,COA,per_source_count,19,54100019,3,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-156,publiek,Gemeente Kampen,COA,per_source_count,19,3140019,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-157,publiek,Music Hall B.V.,COA,per_source_count,19,6565019,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-158,publiek,Anoniem B.V.,COA,per_source_count,19,2190019,5,Q-PUB-02,2026-03-02T19:28:34Z
