fact_id,ontvanger,jaar,bedrag,descriptor,type
INSTR-391,Stichting NHL Stenden Hogeschool,2022,201731000,Onderwijsdeel hbo,Bekostiging
INSTR-392,Stg. Beroepsonderw./ Volw.educ en AVO in Friesland en Flevoland,2024,200951000,Bekostiging MBO-instellingen,Bekostiging
INSTR-393,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor Overige uitgaven (R),2023,200343000,Overige uitgaven (R),Inkomensoverdrachten
INSTR-394,Gemeente Helmond,2023,199971000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-395,Stichting Lucas Onderwijs,2022,199750000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-396,Gemeente Westland,2024,199649000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-397,Provincie Groningen,2023,198416000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-398,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor Overige uitgaven (R),2024,197419000,Overige uitgaven (R),Inkomensoverdrachten
INSTR-399,Provincie Fryslân,2022,197273000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-400,Sociale Verzekeringsbank,2023,197228000,Uitvoeringskosten SVB,Bijdrage aan ZBOs en RWTs
INSTR-401,Stichting Katholieke Universiteit Brabant,2022,196901000,Onderwijsdeel wo,Bekostiging
INSTR-402,Kamer van Koophandel,2024,196694000,Kamer van Koophandel,Bijdrage aan ZBOs en RWTs
INSTR-403,Centraal Bureau voor de Statistiek,2024,196050000,Bijdrage CBS (vanaf 2020),Bijdrage aan ZBOs en RWTs
INSTR-404,Stichting NHL Stenden Hogeschool,2023,195812000,Onderwijsdeel hbo,Bekostiging
INSTR-405,Gemeente Purmerend,2024,195775000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-406,Gemeente Nissewaard,2024,194776000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-407,Gemeente Schiedam,2024,194705000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-408,RVO,2022,193678000,Bijdrage aan RVO (DGA),Bijdragen Baten-Lastendiensten
INSTR-409,Ver. Chr. Voortgezet Onderwijs te Rotterdam en omgeving,2022,193129000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-410,Gemeente Lelystad,2023,193019000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-411,Gemeente Sittard-Geleen,2022,192864000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-412,Centraal Justitieel Incassobureau,2023,192591000,Bijdrage Agentschappen: CJIB,Bijdrage aan agentschappen
INSTR-413,Provincie Drenthe,2023,191968000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-414,Gemeente Hilversum,2024,191355000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-415,Gemeente Súdwest-Fryslân,2023,191341000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-416,Provincie Flevoland,2022,191257000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-417,Gemeente Hengelo,2024,191072000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-418,Gemeente Alphen aan den Rijn,2022,190899000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-419,Geanonimiseerde ontvanger(s) van Subsidies (regelingen) voor Stimuleringsregeling Duurzame Energieproductie,2024,190632000,Stimuleringsregeling Duurzame Energieproductie,Subsidies (regelingen)
INSTR-420,Rijksinstituut voor Volksgezondheid en Milieu (RIVM),2023,190582000,RIVM COVID-19 Opdrv aan kenniscentra,Bijdrage aan agentschappen
INSTR-421,Stichting Hoger Beroepsonderwijs Haaglanden,2023,190017000,Onderwijsdeel hbo,Bekostiging
INSTR-422,Provincie Limburg,2022,190002000,Algemene uitkering,Bijdrage aan medeoverheden
